ID,ADI,DURAK_KODU,geometry
579209,HZ.EBUBEKİR CAMİİ,131501,POINT (28.8684480169388 41.0343219939212)
579220,GÖZTEPE MAHALLESİ,131881,POINT (28.8347819999842 41.0615720005634)
579234,PEYAMİ SAFA CADDESİ,164861,POINT (28.8184659999835 41.0533930005621)
659575,İBB BAKIRKÖY,103731,POINT (28.8857385193682 40.9997130865929)
659606,BAKIRKÖY ADLİYESİ,121861,POINT (28.880701989387 40.9998719662147)
659685,CENNET MAHALLESİ ŞEHİT MEHMET GÜDER,122681,POINT (28.7837129999821 40.9851290005511)
580296,KOOPERATİF,215841,POINT (29.1076059919489 41.0107259968782)
580598,ÜMRANİYE TELEKOM,217023,POINT (29.1064719999915 41.0296850005586)
580637,TEPEÜSTÜ,405131,POINT (29.1296869999919 41.0222280005574)
580075,DÖRTYOL,201932,POINT (29.1116889999916 41.0129050005559)
580319,BAĞ SOKAK,216492,POINT (29.0936459999913 41.0280250005583)
580336,TAVUKÇUYOLU ÇIKIŞI,216902,POINT (29.1559419999923 41.0019020005541)
461,TEPEPARK VİLLALARI,261951,POINT (29.3792770286229 40.9432219671515)
217,CEMİL MERİÇ İLKOKULU,230241,POINT (29.3224180000088 40.8651939991197)
273,MESCİT MAHALLESİ MUHTARLIĞI,210832,POINT (29.3548799999947 40.8942370005371)
282,ŞEKERPINAR CADDESİ,211371,POINT (29.3615539999948 40.8486210005299)
299,GÜZELYALI  İSTASYONU,212012,POINT (29.2790999672483 40.8562989877775)
53,TELEFON SANTRALİ,209062,POINT (29.3219439663737 40.8693589601196)
61,YENİEVLER CAMİİ,209372,POINT (29.3103029999944 40.8381290005283)
86,ÇAMLIK,206461,POINT (29.351141005046 40.9266679865022)
116,BAHÇELER,207582,POINT (29.3013759999943 40.8178460005251)
161,İÇMELER MERKEZ,207801,POINT (29.3053649999943 40.84922400053)
170,PTT MERKEZİ,229261,POINT (29.3955999999951 40.8777320005345)
403,İNÖNÜ CADDESİ,228402,POINT (29.3588799999948 40.8285350005268)
413,MİMAR SİNAN,228462,POINT (29.3615420000084 40.8451149991202)
328,BEHRAM SOKAK,212651,POINT (29.3100489999944 40.8241790005261)
346,HALİL TÜRKKAN KIZ ANADOLU İMAM HATİP LİSESİ,213502,POINT (29.3337319999945 40.8721990005337)
358,HAT BOYU,225822,POINT (29.3160139999944 40.8334750005276)
376,MARMADOS SİTESİ,225892,POINT (29.3146109999944 40.8192840005254)
139,HACIOĞLU SOKAK,207762,POINT (29.3245509999945 40.8278540005267)
294,ALYAZMA SOKAK,211791,POINT (29.3255399999945 40.8259130005264)
111,PİRİ REİS ÜNVERSİTESİ,207561,POINT (29.2902430008761 40.8164790234847)
117,KALEKAPI,207591,POINT (29.3054489999944 40.8186050005253)
120,TUZLA ANADOLU LİSESİ,207602,POINT (29.3078099999944 40.8204060005256)
293585,USKUMRUKÖY YOLU,112791,POINT (29.0335910000116 41.2195369991122)
293751,AKAR SOKAK,114322,POINT (29.0284510157429 41.1281020365384)
508873,KERESTECİLER SİTESİ,126521,POINT (28.7856809999819 41.0727540005651)
508876,AYMA KOOPERATİFİ,126532,POINT (28.7859409999818 41.0804390005664)
508878,TORMAK SANAYİ SİTESİ,126542,POINT (28.7862929999819 41.0882060005676)
508879,BAŞAK KONUTLARI,126551,POINT (28.790914999982 41.0973080005691)
508880,BAŞAK KONUTLARI,126552,POINT (28.7915029999821 41.0976780005691)
508885,BAŞAKŞEHİR 1.ETAP CAMİİ,126581,POINT (28.7893539999819 41.1038740005701)
508891,MİMARLAR SİTESİ,126671,POINT (28.6745649999745 41.0785670005658)
508892,MİMARLAR SİTESİ,126672,POINT (28.6749009999745 41.0785960005658)
508899,ORGANİZE SANAYİ SİTESİ,126801,POINT (28.8101450000099 41.0680489991152)
508900,ORGANİZE SANAYİ SİTESİ,126802,POINT (28.8105289999831 41.0681170005644)
508905,GÖLET,127211,POINT (28.6890389999756 41.0715370005648)
508906,GÖLET,127212,POINT (28.6888069999756 41.0716840005648)
